"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"14D","1414 DEGREES LIMITED","Capital Goods","12/09/2018",18815313
"1AD","ADALTA LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","22/08/2016",14395556
"1AE","AURORA ENERGY METALS LIMITED","Materials","18/05/2022",16115736
"1AG","ALTERRA LIMITED","Food, Beverage & Tobacco","16/05/2008",5172879
"1AI","ALGORAE PHARMACEUTICALS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","01/09/2004",18561342
"1CG","ONE CLICK GROUP LIMITED","Capital Goods","28/04/2017",6078348
"1MC","MORELLA CORPORATION LIMITED","Materials","08/01/2001",18536398
"1TT","THRIVE TRIBE TECHNOLOGIES LIMITED","Software & Services","09/07/2015",5272701
"29M","29METALS LIMITED","Materials","02/07/2021",392951573
"360","LIFE360 INC.","Software & Services","10/05/2019",3455528139
"3DA","AMAERO INTERNATIONAL LTD","Capital Goods","06/12/2019",235772705
"3DP","POINTERRA LIMITED","Software & Services","27/03/2008",28232312
"3PL","3P LEARNING LIMITED..","Consumer Services","09/07/2014",340471430
"4DS","4DS MEMORY LIMITED","Semiconductors & Semiconductor Equipment","09/12/2010",132257619
"4DX","4DMEDICAL LIMITED","Health Care Equipment & Services","07/08/2020",227006006
"5EA","5E ADVANCED MATERIALS INC.","Materials","01/03/2022",136064547
"5GG","PENTANET LIMITED","Telecommunication Services","29/01/2021",19492725
"5GN","5G NETWORKS LIMITED.","Software & Services","14/12/1999",53866234
"88E","88 ENERGY LIMITED","Energy","20/01/2000",115570688
"8CO","8COMMON LIMITED","Software & Services","27/08/2014",6946942
"8IH","8I HOLDINGS LTD","Financial Services","17/12/2014",3573560
"8VI","8VI HOLDINGS LIMITED","Consumer Services","16/12/2015",2263217
"A11","ATLANTIC LITHIUM LIMITED","Materials","26/09/2022",266364312
"A1G","AFRICAN GOLD LTD.","Materials","14/02/2019",5067934
"A1GN","AFRICAN GOLD LTD.","Materials","14/02/2019",5067934
"A1M","AIC MINES LIMITED","Materials","04/11/1993",272857673
"A1N","ARN MEDIA LIMITED","Media & Entertainment","07/05/1992",253570802
"A2M","THE A2 MILK COMPANY LIMITED","Food, Beverage & Tobacco","31/03/2015",4908727346
"A3D","AURORA LABS LIMITED","Capital Goods","16/08/2016",19867385
"A4N","ALPHA HPA LIMITED","Materials","22/10/2007",887109136
"A8G","AUSTRALASIAN METALS LIMITED","Materials","13/05/2021",3961158
"AAC","AUSTRALIAN AGRICULTURAL COMPANY LIMITED.","Food, Beverage & Tobacco","10/08/2001",855928781
"AAJ","ARUMA RESOURCES LIMITED","Materials","23/07/2010",3740939
"AAP","AUSTRALIAN AGRICULTURAL PROJECTS LIMITED","Food, Beverage & Tobacco","07/01/2004",8109282
"AAR","ASTRAL RESOURCES NL","Materials","13/11/1986",83045681
"AAU","ANTILLES GOLD LIMITED","Materials","25/11/1993",9815350
"ABA","AUSWIDE BANK LTD","Banks","19/09/1994",188854979
"ABB","AUSSIE BROADBAND LIMITED","Telecommunication Services","16/10/2020",1066820200
"ABC","ADBRI LIMITED","Materials","31/05/1962",2073951565
"ABE","AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED","Financial Services","06/12/2021",2756605
"ABG","ABACUS GROUP","Equity Real Estate Investment Trusts (REITs)","14/11/2002",1014301413
"ABV","ADVANCED BRAKING TECHNOLOGY LTD","Automobiles & Components","28/05/2002",19063895
"ABX","ABX GROUP LIMITED","Materials","24/12/2009",13752217
"ABY","ADORE BEAUTY GROUP LIMITED","Consumer Discretionary Distribution & Retail","19/11/2020",101004773
"AC8","AUSCANN GROUP HOLDINGS LTD","Pharmaceuticals, Biotechnology & Life Sciences","03/05/1989","SUSPENDED"
"ACE","ACUSENSUS LIMITED.","Software & Services","12/01/2023",79631984
"ACF","ACROW LIMITED","Capital Goods","27/06/2008",339566048
"ACL","AUSTRALIAN CLINICAL LABS LIMITED","Health Care Equipment & Services","14/05/2021",470273255
"ACM","AUSTRALIAN CRITICAL MINERALS LIMITED","Materials","03/07/2023",4222532
"ACP","AUDALIA RESOURCES LIMITED","Materials","06/07/2011",13842724
"ACQ","ACORN CAPITAL INVESTMENT FUND LIMITED","Not Applic","01/05/2014",74147029
"ACR","ACRUX LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","29/09/2004",19478029
"ACS","ACCENT RESOURCES NL","Materials","26/08/2005",3311891
"ACU","ACUMENTIS GROUP LIMITED","Real Estate Management & Development","05/12/2003",15272222
"ACW","ACTINOGEN MEDICAL LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","16/10/2007",68226874
"AD1","AD1 HOLDINGS LIMITED","Media & Entertainment","23/06/2016",8087835
"AD8","AUDINATE GROUP LIMITED","Technology Hardware & Equipment","30/06/2017",1389579738
"ADA","ADACEL TECHNOLOGIES LIMITED","Software & Services","27/02/1998",50308493
"ADC","ACDC METALS LTD","Materials","17/01/2023",3904477
"ADD","ADAVALE RESOURCES LIMITED","Energy","06/02/1992",5587888
"ADG","ADELONG GOLD LIMITED","Materials","21/03/2007",4321956
"ADH","ADAIRS LIMITED","Consumer Discretionary Distribution & Retail","17/06/2015",318796066
"ADN","ANDROMEDA METALS LIMITED","Materials","17/09/1996",55984877
"ADO","ANTEOTECH LTD","Pharmaceuticals, Biotechnology & Life Sciences","07/04/2000",54214322
"ADR","ADHERIUM LIMITED","Health Care Equipment & Services","26/08/2015",7020720
